"No.","Time","Source","Destination","Protocol","Length","Info"
"12","0.035021","10.10.14.44","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"15","0.071563","192.168.3.207","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"23","0.140414","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"24","0.165167","192.168.3.209","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"26","0.179712","192.168.9.131","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"27","0.227693","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"30","0.232695","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"41","0.285230","192.168.3.208","192.168.31.255","NBNS","92","Name query NB WPAD.<00>"
"90","0.332511","10.10.14.78","224.0.0.251","MDNS","103","Standard query 0x0003  PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"93","0.332642","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"112","0.355597","10.10.10.123","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"116","0.358280","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xa783  A wpad"
"118","0.358379","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xa783  A wpad"
"121","0.361166","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x4eca  AAAA wpad"
"123","0.361261","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x4eca  AAAA wpad"
"131","0.370815","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0xf083  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"132","0.370861","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0xf083  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"179","0.424529","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"190","0.433163","192.168.28.38","224.0.0.252","LLMNR","75","Standard query 0x3275  AAAA WIN-JJVQTFUFFR8"
"191","0.434373","192.168.3.206","192.168.31.255","NBNS","92","Name query NB ROBOTICS<1c>"
"192","0.436873","192.168.9.184","192.168.9.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"193","0.440727","fe80::104b:adee:75e6:c425","ff02::1:3","LLMNR","95","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"194","0.440997","192.168.14.61","224.0.0.252","LLMNR","75","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"198","0.464548","192.168.4.101","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"199","0.466755","fe80::e899:472b:c46e:3052","ff02::1:2","DHCPv6","154","Solicit XID: 0x1dd5e8 CID: 00010001213ad0f3484d7ec54728 "
"207","0.499707","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<20>"
"211","0.503454","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"237","0.537242","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"244","0.541792","192.168.28.38","224.0.0.252","LLMNR","75","Standard query 0x3275  AAAA WIN-JJVQTFUFFR8"
"252","0.549722","fe80::104b:adee:75e6:c425","ff02::1:3","LLMNR","95","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"255","0.549802","192.168.14.61","224.0.0.252","LLMNR","75","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"336","0.659967","10.10.13.73","10.10.15.255","NBNS","92","Name query NB DMM<1c>"
